Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Total Square Feet (ft),Total Lot Square Feet (ft)
1461,896,0,0,None,2,1Fam,TA,No,468.0,144.0,Rec,LwQ,0.0,0.0,TA,270.0,Y,Feedr,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,NO,0,CBlock,1,Typ,730.0,1.0,TA,Unf,TA,Attchd,1961.0,896,0,GasA,TA,1Story,1,TA,Lvl,Gtl,11622,Inside,80.0,Reg,0,20,RH,0.0,None,NA,0,6,NAmes,0,6,5,Y,0,NA,CompShg,Gable,Normal,WD,120,Pave,5,882.0,AllPub,140,1961,1961,2010,1508.0,11622
1462,1329,0,0,None,3,1Fam,TA,No,923.0,0.0,ALQ,Unf,0.0,0.0,TA,406.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NO,NO,0,CBlock,1,Typ,312.0,1.0,TA,Unf,TA,Attchd,1958.0,1329,1,GasA,TA,1Story,1,Gd,Lvl,Gtl,14267,Corner,81.0,IR1,0,20,RL,108.0,BrkFace,Gar2,12500,6,NAmes,36,6,6,Y,0,NA,CompShg,Hip,Normal,WD,0,Pave,6,1329.0,AllPub,393,1958,1958,2010,2252.0,14267
1463,928,701,0,None,3,1Fam,TA,No,791.0,0.0,GLQ,Unf,0.0,0.0,Gd,137.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,TA,1,PConc,2,Typ,482.0,2.0,TA,Fin,TA,Attchd,1997.0,1629,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,13830,Inside,74.0,IR1,0,60,RL,0.0,None,NA,0,3,Gilbert,34,5,5,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,6,928.0,AllPub,212,1997,1998,2010,2420.0,13830
1464,926,678,0,None,3,1Fam,TA,No,602.0,0.0,GLQ,Unf,0.0,0.0,TA,324.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,470.0,2.0,TA,Fin,TA,Attchd,1998.0,1604,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,9978,Inside,78.0,IR1,0,60,RL,20.0,BrkFace,NA,0,6,Gilbert,36,6,6,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,7,926.0,AllPub,360,1998,1998,2010,2206.0,9978
1465,1280,0,0,None,2,TwnhsE,TA,No,263.0,0.0,ALQ,Unf,0.0,0.0,Gd,1017.0,Y,Norm,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,NO,NO,0,PConc,2,Typ,506.0,2.0,TA,RFn,TA,Attchd,1992.0,1280,0,GasA,Ex,1Story,1,Gd,HLS,Gtl,5005,Inside,43.0,IR1,0,120,RL,0.0,None,NA,0,1,StoneBr,82,5,8,Y,0,NA,CompShg,Gable,Normal,WD,144,Pave,5,1280.0,AllPub,0,1992,1992,2010,1543.0,5005
1466,763,892,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,763.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NO,TA,1,PConc,2,Typ,440.0,2.0,TA,Fin,TA,Attchd,1993.0,1655,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,10000,Corner,75.0,IR1,0,60,RL,0.0,None,NA,0,4,Gilbert,84,5,6,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,7,763.0,AllPub,157,1993,1994,2010,1655.0,10000
1467,1187,0,0,None,3,1Fam,TA,No,935.0,0.0,ALQ,Unf,1.0,0.0,Gd,233.0,Y,Norm,Norm,SBrkr,0,Gd,TA,HdBoard,HdBoard,GdPrv,NO,0,PConc,2,Typ,420.0,2.0,TA,Fin,TA,Attchd,1992.0,1187,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7980,Inside,0,IR1,0,20,RL,0.0,None,Shed,500,3,Gilbert,21,7,6,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,6,1168.0,AllPub,483,1992,2007,2010,2122.0,7980
1468,789,676,0,None,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,789.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,393.0,2.0,TA,Fin,TA,Attchd,1998.0,1465,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,8402,Inside,63.0,IR1,0,60,RL,0.0,None,NA,0,5,Gilbert,75,5,6,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,7,789.0,AllPub,0,1998,1998,2010,1465.0,8402
1469,1341,0,0,None,2,1Fam,TA,Gd,637.0,0.0,GLQ,Unf,1.0,0.0,Gd,663.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NO,Po,1,PConc,1,Typ,506.0,2.0,TA,Unf,TA,Attchd,1990.0,1341,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10176,Inside,85.0,Reg,0,20,RL,0.0,None,NA,0,2,Gilbert,0,5,7,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,5,1300.0,AllPub,192,1990,1990,2010,1978.0,10176
1470,882,0,0,None,2,1Fam,TA,No,804.0,78.0,ALQ,Rec,1.0,0.0,TA,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,MnPrv,NO,0,CBlock,1,Typ,525.0,2.0,TA,Fin,TA,Attchd,1970.0,882,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8400,Corner,70.0,Reg,0,20,RL,0.0,None,NA,0,4,NAmes,0,5,4,Y,0,NA,CompShg,Gable,Normal,WD,0,Pave,4,882.0,AllPub,240,1970,1970,2010,1764.0,8400
